INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
196	12786739	12786739	4.1576	3.6417	500	100	500	100	500	100	500	100	500	50	500	50	500	200	61160	25083	27342	2734	11718	13748	39081	31508	32003	31383	6316	15754	433440	0	5000	5930	583050	16047	16047	20000	-1	-1	-1	-1	-1	-1	-1	-1	156	156	156	156	2006	166000
197	13232026	13232026	4.1768	3.6562	500	100	500	100	500	100	500	100	500	50	500	50	500	200	61983	25397	27696	2770	11924	13980	39638	31941	32443	31846	6409	15971	437760	0	5000	5960	588980	16160	16160	20100	-1	-1	-1	-1	-1	-1	-1	-1	157	157	157	157	2024	166000
198	13687575	13687575	4.196	3.6708	500	100	500	100	500	100	500	100	500	50	500	50	500	200	62814	25712	28053	2805	12130	14214	40200	32379	32887	32315	6503	16189	441360	0	5000	5990	594940	16272	16272	20200	-1	-1	-1	-1	-1	-1	-1	-1	158	158	158	158	2042	166000
199	14152763	14152763	4.2151	3.6854	500	100	500	100	500	100	500	100	500	50	500	50	500	200	63654	26031	28413	2841	12340	14452	40769	32821	33335	32788	6598	16410	445680	0	5000	6020	600930	16386	16386	20300	-1	-1	-1	-1	-1	-1	-1	-1	159	159	159	159	2060	166000
200	14413089	14413089	4.2343	3.7	500	100	500	100	500	100	500	100	500	50	500	50	500	200	64501	26352	28776	2878	12554	14692	41343	33267	33788	33267	6695	16634	449280	0	5000	6050	606950	16500	16500	20400	-1	-1	-1	-1	-1	-1	-1	-1	160	160	160	160	2078	166000
201	14806859	14806859	4.2534	3.7146	500	100	500	100	500	100	500	100	500	50	500	50	500	200	65356	26675	29143	2914	12770	14936	41924	33718	34245	33751	6792	16859	452880	0	5000	6080	613000	16571	16571	20500	-1	-1	-1	-1	-1	-1	-1	-1	161	161	161	161	2096	166000
202	15208273	15208273	4.2726	3.7292	500	100	500	100	500	100	500	100	500	50	500	50	500	200	66219	27001	29512	2951	12988	15182	42510	34173	34707	34241	6891	17086	457200	0	5000	6110	619080	16699	16699	20600	-1	-1	-1	-1	-1	-1	-1	-1	162	162	162	162	2114	166000
203	15617409	15617409	4.2918	3.7437	500	100	500	100	500	100	500	100	500	50	500	50	500	200	67091	27330	29886	2989	13210	15434	43103	34632	35173	34735	6990	17316	460800	0	5000	6140	625190	16825	16825	20700	-1	-1	-1	-1	-1	-1	-1	-1	163	163	163	163	2132	166000
204	16034343	16034343	4.3109	3.7583	500	100	500	100	500	100	500	100	500	50	500	50	500	200	67970	27661	30262	3026	13434	15686	43701	35096	35644	35235	7091	17548	465120	0	5000	6170	631330	16953	16953	20800	-1	-1	-1	-1	-1	-1	-1	-1	164	164	164	164	2150	166000
205	16474323	16474323	4.3301	3.7729	500	100	500	100	500	100	500	100	500	50	500	50	500	200	68858	27995	30642	3064	13662	15942	44306	35565	36119	35741	7193	17782	469440	0	5000	6200	637500	17076	17076	20900	-1	-1	-1	-1	-1	-1	-1	-1	165	165	165	165	2170	166000
206	16908138	16908138	4.3493	3.7875	500	100	500	100	500	100	500	100	500	50	500	50	500	200	69753	28332	31025	3102	13892	16202	44917	36038	36599	36252	7295	18019	473040	0	5000	6230	643700	17192	17192	21000	-1	-1	-1	-1	-1	-1	-1	-1	166	166	166	166	2188	166000
207	17349213	17349213	4.3684	3.802	500	100	500	100	500	100	500	100	500	50	500	50	500	200	70657	28671	31411	3141	14126	16466	45534	36515	37083	36769	7399	18258	476640	0	5000	6260	649930	17309	17309	21100	-1	-1	-1	-1	-1	-1	-1	-1	167	167	167	167	2206	166000
208	17799193	17799193	4.3876	3.8166	500	100	500	100	500	100	500	100	500	50	500	50	500	200	71570	29013	31801	3180	14362	16732	46157	36997	37572	37291	7504	18499	480960	0	5000	6290	656190	17426	17426	21200	-1	-1	-1	-1	-1	-1	-1	-1	168	168	168	168	2224	166000
209	18273646	18273646	4.4068	3.8312	500	100	500	100	500	100	500	100	500	50	500	50	500	200	72490	29358	32195	3219	14600	17002	46786	37484	38066	37819	7611	18742	485280	0	5000	6320	662480	17543	17543	21300	-1	-1	-1	-1	-1	-1	-1	-1	169	169	169	169	2244	166000
210	18740389	18740389	4.4259	3.8458	500	100	500	100	500	100	500	100	500	50	500	50	500	200	73419	29705	32591	3259	14844	17274	47422	37975	38564	38352	7718	18988	488880	0	5000	6350	668800	17662	17662	21400	-1	-1	-1	-1	-1	-1	-1	-1	170	170	170	170	2262	166000
211	19215491	19215491	4.4451	3.8603	500	100	500	100	500	100	500	100	500	50	500	50	500	200	74357	30055	32991	3299	15088	17550	48064	38471	39068	38891	7827	19236	493200	0	5000	6380	675150	17781	17781	21500	-1	-1	-1	-1	-1	-1	-1	-1	171	171	171	171	2280	166000
212	19716159	19716159	4.4643	3.8749	500	100	500	100	500	100	500	100	500	50	500	50	500	200	75302	30408	33395	3339	15338	17830	48713	38972	39575	39436	7936	19486	497520	0	5000	6410	681530	17900	17900	21600	-1	-1	-1	-1	-1	-1	-1	-1	172	172	172	172	2300	166000
213	20209330	20209330	4.4834	3.8895	500	100	500	100	500	100	500	100	500	50	500	50	500	200	76257	30763	33802	3380	15590	18112	49368	39477	40088	39986	8047	19739	501120	0	5000	6440	687940	18019	18019	21700	-1	-1	-1	-1	-1	-1	-1	-1	173	173	173	173	2318	166000
214	20728825	20728825	4.5026	3.904	500	100	500	100	500	100	500	100	500	50	500	50	500	200	77220	31121	34212	3421	15844	18400	50030	39987	40605	40543	8159	19994	505440	0	5000	6470	694380	18139	18139	21800	-1	-1	-1	-1	-1	-1	-1	-1	174	174	174	174	2338	166000
215	21257600	21257600	4.5218	3.9186	500	100	500	100	500	100	500	100	500	50	500	50	500	200	78191	31481	34626	3463	16102	18690	50698	40502	41128	41105	8272	20251	509760	0	5000	6500	700850	18259	18259	21900	-1	-1	-1	-1	-1	-1	-1	-1	175	175	175	175	2358	166000
216	21777426	21777426	4.5409	3.9332	500	100	500	100	500	100	500	100	500	50	500	50	500	200	79171	31845	35044	3504	16364	18984	51372	41021	41655	41673	8386	20511	513360	0	5000	6530	707350	18380	18380	22000	-1	-1	-1	-1	-1	-1	-1	-1	176	176	176	176	2376	166000
217	22325571	22325571	4.5601	3.9477	500	100	500	100	500	100	500	100	500	50	500	50	500	200	80160	32211	35465	3546	16630	19280	52053	41546	42187	42247	8502	20773	517680	0	5000	6560	713880	18503	18503	22100	-1	-1	-1	-1	-1	-1	-1	-1	177	177	177	177	2396	166000
218	22864340	22864340	4.5793	3.9623	500	100	500	100	500	100	500	100	500	50	500	50	500	200	81157	32579	35890	3589	16898	19582	52741	42075	42723	42827	8619	21038	522000	0	5000	6590	720440	18624	18624	22200	-1	-1	-1	-1	-1	-1	-1	-1	178	178	178	178	2414	166000
219	23432230	23432230	4.5984	3.9768	500	100	500	100	500	100	500	100	500	50	500	50	500	200	82163	32951	36318	3632	17168	19886	53436	42609	43265	43412	8736	21305	526320	0	5000	6620	727030	18746	18746	22300	-1	-1	-1	-1	-1	-1	-1	-1	179	179	179	179	2434	166000
220	24009854	24009854	4.6176	3.9914	500	100	500	100	500	100	500	100	500	50	500	50	500	200	83178	33325	36749	3675	17444	20194	54137	43148	43812	44004	8856	21574	530640	0	5000	6650	733650	18869	18869	22400	-1	-1	-1	-1	-1	-1	-1	-1	180	180	180	180	2454	166000
221	24597296	24597296	4.6368	4.0059	500	100	500	100	500	100	500	100	500	50	500	50	500	200	84202	33702	37185	3718	17722	20506	54845	43692	44364	44602	8976	21846	534960	0	5000	6680	740300	18992	18992	22500	-1	-1	-1	-1	-1	-1	-1	-1	182	182	182	182	2474	166000
222	25195535	25195535	4.6559	4.0205	500	100	500	100	500	100	500	100	500	50	500	50	500	200	85235	34082	37624	3762	18004	20820	55559	44241	44920	45207	9098	22120	539280	0	5000	6710	746980	19116	19116	22600	-1	-1	-1	-1	-1	-1	-1	-1	184	184	184	184	2494	166000
223	25804677	25804677	4.6751	4.035	500	100	500	100	500	100	500	100	500	50	500	50	500	200	86276	34464	38066	3807	18288	21140	56281	44795	45482	45817	9220	22397	543600	0	5000	6740	753690	19241	19241	22700	-1	-1	-1	-1	-1	-1	-1	-1	186	186	186	186	2514	166000
224	26423019	26423019	4.6943	4.0496	500	100	500	100	500	100	500	100	500	50	500	50	500	200	87327	34849	38512	3851	18576	21462	57009	45353	46049	46433	9344	22677	547920	0	5000	6770	760430	19365	19365	22800	-1	-1	-1	-1	-1	-1	-1	-1	188	188	188	188	2534	166000
225	27053364	27053364	4.7134	4.0642	500	100	500	100	500	100	500	100	500	50	500	50	500	200	88386	35237	38962	3896	18868	21790	57745	45917	46621	47056	9470	22959	552240	0	5000	6800	767200	19490	19490	22900	-1	-1	-1	-1	-1	-1	-1	-1	190	190	190	190	2554	166000
226	27694002	27694002	4.7326	4.0787	500	100	500	100	500	100	500	100	500	50	500	50	500	200	89455	35628	39416	3942	19164	22120	58487	46486	47197	47685	9596	23243	556560	0	5000	6830	774000	19615	19615	23000	-1	-1	-1	-1	-1	-1	-1	-1	192	192	192	192	2574	166000
227	28345017	28345017	4.7518	4.0932	500	100	500	100	500	100	500	100	500	50	500	50	500	200	90533	36022	39873	3987	19464	22454	59236	47060	47780	48321	9724	23530	560880	0	5000	6860	780830	19742	19742	23100	-1	-1	-1	-1	-1	-1	-1	-1	194	194	194	194	2594	166000
228	29007430	29007430	4.771	4.1078	500	100	500	100	500	100	500	100	500	50	500	50	500	200	91619	36418	40334	4033	19766	22792	59993	47639	48367	48963	9853	23820	565200	0	5000	6890	787690	19868	19868	23200	-1	-1	-1	-1	-1	-1	-1	-1	196	196	196	196	2614	166000
229	29680407	29680407	4.7901	4.1223	500	100	500	100	500	100	500	100	500	50	500	50	500	200	92715	36817	40799	4080	20072	23134	60756	48223	48959	49611	9984	24112	569520	0	5000	6920	794580	19995	19995	23300	-1	-1	-1	-1	-1	-1	-1	-1	198	198	198	198	2634	166000
230	30365932	30365932	4.8093	4.1369	500	100	500	100	500	100	500	100	500	50	500	50	500	200	93821	37219	41267	4127	20382	23480	61527	48813	49557	50266	10116	24406	573840	0	5000	6950	801500	20123	20123	23400	-1	-1	-1	-1	-1	-1	-1	-1	200	200	200	200	2654	166000
231	31061266	31061266	4.8285	4.1514	500	100	500	100	500	100	500	100	500	50	500	50	500	200	94935	37624	41739	4174	20696	23830	62304	49407	50160	50927	10249	24704	578160	0	5000	6980	808450	20251	20251	23500	-1	-1	-1	-1	-1	-1	-1	-1	202	202	202	202	2674	166000
232	31769363	31769363	4.8476	4.166	500	100	500	100	500	100	500	100	500	50	500	50	500	200	96059	38031	42215	4222	21014	24186	63089	50007	50768	51595	10383	25003	582480	0	5000	7010	815430	20379	20379	23600	-1	-1	-1	-1	-1	-1	-1	-1	204	204	204	204	2694	166000
233	32512335	32512335	4.8668	4.1805	500	100	500	100	500	100	500	100	500	50	500	50	500	200	97192	38441	42695	4270	21334	24544	63881	50612	51382	52269	10519	25306	586800	0	5000	7040	822440	20508	20508	23700	-1	-1	-1	-1	-1	-1	-1	-1	206	206	206	206	2716	166000
234	33243757	33243757	4.886	4.1951	500	100	500	100	500	100	500	100	500	50	500	50	500	200	98334	38854	43179	4318	21660	24906	64681	51222	52000	52950	10656	25611	591120	0	5000	7070	829480	20638	20638	23800	-1	-1	-1	-1	-1	-1	-1	-1	208	208	208	208	2736	166000
235	34010965	34010965	4.9051	4.2096	500	100	500	100	500	100	500	100	500	50	500	50	500	200	99486	39270	43666	4367	21988	25272	65488	51837	52624	53638	10794	25919	596160	0	5000	7100	836550	20768	20768	23900	-1	-1	-1	-1	-1	-1	-1	-1	210	210	210	210	2758	166000
236	34766113	34766113	4.9243	4.2241	500	100	500	100	500	100	500	100	500	50	500	50	500	200	100647	39689	44157	4416	22320	25642	66302	52458	53254	54332	10934	26229	600480	0	5000	7130	843650	20898	20898	24000	-1	-1	-1	-1	-1	-1	-1	-1	212	212	212	212	2778	166000
237	35533590	35533590	4.9435	4.2387	500	100	500	100	500	100	500	100	500	50	500	50	500	200	101818	40111	44652	4465	22656	26018	67123	53084	53889	55033	11075	26542	604800	0	5000	7160	850780	21029	21029	24100	-1	-1	-1	-1	-1	-1	-1	-1	214	214	214	214	2798	166000
238	36339260	36339260	4.9627	4.2532	500	100	500	100	500	100	500	100	500	50	500	50	500	200	102998	40535	45151	4515	22998	26396	67952	53716	54529	55741	11218	26858	609840	0	5000	7190	857940	21160	21160	24200	-1	-1	-1	-1	-1	-1	-1	-1	216	216	216	216	2820	166000
239	37132097	37132097	4.9818	4.2678	500	100	500	100	500	100	500	100	500	50	500	50	500	200	104188	40962	45654	4565	23342	26780	68789	54353	55175	56456	11362	27176	614160	0	5000	7220	865130	21292	21292	24300	-1	-1	-1	-1	-1	-1	-1	-1	218	218	218	218	2840	166000
240	37963078	37963078	5.001	4.2823	500	100	500	100	500	100	500	100	500	50	500	50	500	200	105388	41392	46161	4616	23690	27168	69633	54995	55827	57178	11507	27498	618480	0	5000	7250	872350	21424	21424	24400	-1	-1	-1	-1	-1	-1	-1	-1	220	220	220	220	2862	166000
241	38807576	38807576	5.0202	4.2968	500	100	500	100	500	100	500	100	500	50	500	50	500	200	106597	41825	46672	4667	24042	27558	70484	55643	56484	57907	11654	27822	623520	0	5000	7280	879600	21557	21557	24500	-1	-1	-1	-1	-1	-1	-1	-1	222	222	222	222	2884	166000
242	39638427	39638427	5.0393	4.3114	500	100	500	100	500	100	500	100	500	50	500	50	500	200	107816	42261	47187	4719	24398	27956	71344	56296	57146	58643	11802	28148	627840	0	5000	7310	886880	21690	21690	24600	-1	-1	-1	-1	-1	-1	-1	-1	224	224	224	224	2904	166000
243	40509920	40509920	5.0585	4.3259	500	100	500	100	500	100	500	100	500	50	500	50	500	200	109045	42700	47705	4771	24758	28356	72211	56955	57814	59385	11951	28478	632160	0	5000	7340	894190	21824	21824	24700	-1	-1	-1	-1	-1	-1	-1	-1	226	226	226	226	2926	166000
244	41395280	41395280	5.0777	4.3404	500	100	500	100	500	100	500	100	500	50	500	50	500	200	110283	43141	48228	4823	25122	28760	73085	57620	58488	60135	12102	28810	637200	0	5000	7370	901530	21959	21959	24800	-1	-1	-1	-1	-1	-1	-1	-1	228	228	228	228	2948	166000
245	42294625	42294625	5.0969	4.3549	500	100	500	100	500	100	500	100	500	50	500	50	500	200	111532	43586	48754	4875	25492	29170	73968	58290	59167	60892	12254	29145	642240	0	5000	7400	908900	22094	22094	24900	-1	-1	-1	-1	-1	-1	-1	-1	230	230	230	230	2970	166000
246	43179211	43179211	5.116	4.3695	500	100	500	100	500	100	500	100	500	50	500	50	500	200	112790	44033	49285	4929	25864	29584	74858	58965	59852	61656	12408	29483	646560	0	5000	7430	916300	22228	22228	25000	-1	-1	-1	-1	-1	-1	-1	-1	232	232	232	232	2990	166000
247	44105401	44105401	5.1352	4.384	500	100	500	100	500	100	500	100	500	50	500	50	500	200	114058	44483	49820	4982	26240	30002	75756	59646	60542	62428	12563	29823	650880	0	5000	7460	923730	22365	22365	25100	-1	-1	-1	-1	-1	-1	-1	-1	234	234	234	234	3012	166000
248	45046997	45046997	5.1544	4.3985	500	100	500	100	500	100	500	100	500	50	500	50	500	200	115336	44936	50358	5036	26622	30426	76662	60333	61239	63207	12720	30166	655920	0	5000	7490	931190	22500	22500	25200	-1	-1	-1	-1	-1	-1	-1	-1	236	236	236	236	3034	166000
249	46003047	46003047	5.1736	4.4131	500	100	500	100	500	100	500	100	500	50	500	50	500	200	116624	45392	50901	5090	27006	30852	77576	61025	61941	63993	12878	30513	660240	0	5000	7520	938680	22638	22638	25300	-1	-1	-1	-1	-1	-1	-1	-1	238	238	238	238	3056	166000
250	46973670	46973670	5.1927	4.4276	500	100	500	100	500	100	500	100	500	50	500	50	500	200	117922	45851	51448	5145	27396	31284	78497	61724	62649	64786	13038	30862	665280	0	5000	7550	946200	22775	22775	25400	-1	-1	-1	-1	-1	-1	-1	-1	240	240	240	240	3078	166000
251	47957877	47957877	5.2119	4.4421	500	100	500	100	500	100	500	100	500	50	500	50	500	200	119231	46313	51999	5200	27790	31722	79427	62428	63362	65587	13199	31214	670320	0	5000	7580	953750	22912	22912	25500	-1	-1	-1	-1	-1	-1	-1	-1	242	242	242	242	3100	166000
252	48957995	48957995	5.2311	4.4566	500	100	500	100	500	100	500	100	500	50	500	50	500	200	120549	46778	52554	5255	28188	32164	80365	63137	64082	66395	13362	31569	674640	0	5000	7610	961330	23050	23050	25600	-1	-1	-1	-1	-1	-1	-1	-1	244	244	244	244	3122	166000
253	49973040	49973040	5.2502	4.4712	500	100	500	100	500	100	500	100	500	50	500	50	500	200	121878	47245	53113	5311	28592	32610	81311	63853	64807	67211	13526	31926	679680	0	5000	7640	968940	23189	23189	25700	-1	-1	-1	-1	-1	-1	-1	-1	246	246	246	246	3144	166000
254	51003132	51003132	5.2694	4.4857	500	100	500	100	500	100	500	100	500	50	500	50	500	200	123216	47716	53677	5368	28998	33060	82265	64574	65538	68034	13692	32287	684000	0	5000	7670	976580	23328	23328	25800	-1	-1	-1	-1	-1	-1	-1	-1	248	248	248	248	3166	166000
255	52081022	52081022	5.2886	4.5002	500	100	500	100	500	100	500	100	500	50	500	50	500	200	124566	48189	54244	5424	29410	33516	83227	65301	66275	68865	13859	32650	689760	0	5000	7700	984250	23468	23468	25900	-1	-1	-1	-1	-1	-1	-1	-1	250	250	250	250	3190	166000
256	53143148	53143148	5.3078	4.5147	500	100	500	100	500	100	500	100	500	50	500	50	500	200	125925	48666	54816	5482	29826	33976	84198	66034	67018	69703	14028	33017	694080	0	5000	7730	991950	23608	23608	26000	-1	-1	-1	-1	-1	-1	-1	-1	252	252	252	252	3212	166000
257	54219538	54219538	5.3269	4.5292	500	100	500	100	500	100	500	100	500	50	500	50	500	200	127295	49145	55392	5539	30246	34442	85176	66773	67768	70549	14198	33386	699120	0	5000	7760	999680	23749	23749	26100	-1	-1	-1	-1	-1	-1	-1	-1	254	254	254	254	3234	166000
258	55312617	55312617	5.3461	4.5438	500	100	500	100	500	100	500	100	500	50	500	50	500	200	128675	49627	55972	5597	30672	34912	86163	67518	68523	71403	14370	33759	703440	0	5000	7790	1007440	23891	23891	26200	-1	-1	-1	-1	-1	-1	-1	-1	256	256	256	256	3256	166000
259	56455755	56455755	5.3653	4.5583	500	100	500	100	500	100	500	100	500	50	500	50	500	200	130065	50112	56556	5656	31102	35388	87159	68268	69284	72265	14543	34134	709200	0	5000	7820	1015230	24033	24033	26300	-1	-1	-1	-1	-1	-1	-1	-1	258	258	258	258	3280	166000
260	57580720	57580720	5.3845	4.5728	500	100	500	100	500	100	500	100	500	50	500	50	500	200	131466	50600	57145	5714	31536	35868	88162	69025	70051	73134	14718	34513	713520	0	5000	7850	1023050	24175	24175	26400	-1	-1	-1	-1	-1	-1	-1	-1	260	260	260	260	3302	166000
261	58721582	58721582	5.4036	4.5873	500	100	500	100	500	100	500	100	500	50	500	50	500	200	132878	51091	57738	5774	31974	36354	89175	69788	70824	74012	14895	34894	718560	0	5000	7880	1030900	24318	24318	26500	-1	-1	-1	-1	-1	-1	-1	-1	262	262	262	262	3324	166000
262	59915427	59915427	5.4228	4.6018	500	100	500	100	500	100	500	100	500	50	500	50	500	200	134300	51585	58335	5833	32418	36844	90195	70557	71603	74897	15073	35278	723600	0	5000	7910	1038780	24461	24461	26600	-1	-1	-1	-1	-1	-1	-1	-1	264	264	264	264	3348	166000
263	61090116	61090116	5.442	4.6163	500	100	500	100	500	100	500	100	500	50	500	50	500	200	135732	52082	58936	5894	32866	37340	91225	71331	72389	75790	15253	35666	728640	0	5000	7940	1046690	24605	24605	26700	-1	-1	-1	-1	-1	-1	-1	-1	266	266	266	266	3370	166000
264	62318991	62318991	5.4612	4.6309	500	100	500	100	500	100	500	100	500	50	500	50	500	200	137176	52582	59542	5954	33320	37840	92262	72112	73180	76692	15434	36056	733680	0	5000	7970	1054630	24749	24749	26800	-1	-1	-1	-1	-1	-1	-1	-1	268	268	268	268	3394	166000
265	63563994	63563994	5.4803	4.6454	500	100	500	100	500	100	500	100	500	50	500	50	500	200	138630	53085	60152	6015	33778	38346	93309	72899	73978	77601	15617	36450	738720	0	5000	8000	1062600	24894	24894	26900	-1	-1	-1	-1	-1	-1	-1	-1	270	270	270	270	3418	166000
266	64790041	64790041	5.4995	4.6599	500	100	500	100	500	100	500	100	500	50	500	50	500	200	140094	53591	60767	6077	34240	38856	94364	73693	74782	78519	15802	36846	743760	0	5000	8030	1070600	25039	25039	27000	-1	-1	-1	-1	-1	-1	-1	-1	272	272	272	272	3440	166000
267	66072103	66072103	5.5187	4.6744	500	100	500	100	500	100	500	100	500	50	500	50	500	200	141570	54100	61385	6139	34708	39372	95428	74492	75592	79444	15988	37246	748800	0	5000	8060	1078630	25185	25185	27100	-1	-1	-1	-1	-1	-1	-1	-1	274	274	274	274	3464	166000
268	67333307	67333307	5.5379	4.6889	500	100	500	100	500	100	500	100	500	50	500	50	500	200	143056	54611	62009	6201	35180	39894	96500	75298	76409	80378	16176	37649	753120	0	5000	8090	1086690	25332	25332	27200	-1	-1	-1	-1	-1	-1	-1	-1	276	276	276	276	3486	166000
269	68650512	68650512	5.5571	4.7034	500	100	500	100	500	100	500	100	500	50	500	50	500	200	144553	55126	62636	6264	35658	40420	97581	76109	77232	81320	16366	38055	758880	0	5000	8120	1094780	25479	25479	27300	-1	-1	-1	-1	-1	-1	-1	-1	278	278	278	278	3510	166000
270	69986985	69986985	5.5762	4.7179	500	100	500	100	500	100	500	100	500	50	500	50	500	200	146061	55644	63268	6327	36140	40952	98672	76928	78061	82271	16557	38464	763920	0	5000	8150	1102900	25626	25626	27400	-1	-1	-1	-1	-1	-1	-1	-1	280	280	280	280	3534	166000
271	71341611	71341611	5.5954	4.7324	500	100	500	100	500	100	500	100	500	50	500	50	500	200	147580	56165	63905	6390	36628	41490	99771	77752	78896	83229	16750	38876	768960	0	5000	8180	1111050	25774	25774	27500	-1	-1	-1	-1	-1	-1	-1	-1	282	282	282	282	3558	166000
272	72714516	72714516	5.6146	4.747	500	100	500	100	500	100	500	100	500	50	500	50	500	200	149110	56688	64546	6455	37120	42032	100878	78583	79738	84197	16945	39291	774000	0	5000	8210	1119230	25923	25923	27600	-1	-1	-1	-1	-1	-1	-1	-1	284	284	284	284	3582	166000
273	74108410	74108410	5.6338	4.7615	500	100	500	100	500	100	500	100	500	50	500	50	500	200	150651	57215	65191	6519	37618	42580	101995	79420	80587	85172	17141	39710	779040	0	5000	8240	1127440	26072	26072	27700	-1	-1	-1	-1	-1	-1	-1	-1	286	286	286	286	3606	166000
274	75519579	75519579	5.6529	4.776	500	100	500	100	500	100	500	100	500	50	500	50	500	200	152203	57745	65841	6584	38120	43134	103121	80263	81442	86157	17339	40132	784800	0	5000	8270	1135680	26221	26221	27800	-1	-1	-1	-1	-1	-1	-1	-1	288	288	288	288	3630	166000
275	76952046	76952046	5.6721	4.7905	500	100	500	100	500	100	500	100	500	50	500	50	500	200	153766	58277	66495	6650	38628	43694	104256	81113	82303	87149	17539	40557	789840	0	5000	8300	1143950	26372	26372	27900	-1	-1	-1	-1	-1	-1	-1	-1	290	290	290	290	3654	166000
276	78402048	78402048	5.6913	4.805	500	100	500	100	500	100	500	100	500	50	500	50	500	200	155340	58813	67154	6715	39142	44258	105400	81969	83171	88151	17740	40985	794880	0	5000	8330	1152250	26522	26522	28000	-1	-1	-1	-1	-1	-1	-1	-1	292	292	292	292	3678	166000
277	79873657	79873657	5.7105	4.8195	500	100	500	100	500	100	500	100	500	50	500	50	500	200	156925	59351	67817	6782	39660	44828	106554	82832	84045	89161	17944	41416	799920	0	5000	8360	1160580	26673	26673	28100	-1	-1	-1	-1	-1	-1	-1	-1	294	294	294	294	3702	166000
278	81364391	81364391	5.7296	4.834	500	100	500	100	500	100	500	100	500	50	500	50	500	200	158522	59893	68485	6849	40184	45404	107716	83701	84926	90179	18149	41851	804960	0	5000	8390	1168940	26825	26825	28200	-1	-1	-1	-1	-1	-1	-1	-1	296	296	296	296	3726	166000
279	82875719	82875719	5.7488	4.8485	500	100	500	100	500	100	500	100	500	50	500	50	500	200	160130	60438	69158	6916	40712	45986	108888	84577	85813	91207	18355	42289	810720	0	5000	8420	1177330	26977	26977	28300	-1	-1	-1	-1	-1	-1	-1	-1	298	298	298	298	3750	166000
280	84406447	84406447	5.768	4.863	500	100	500	100	500	100	500	100	500	50	500	50	500	200	161749	60985	69835	6984	41246	46574	110068	85459	86708	92243	18564	42730	815760	0	5000	8450	1185750	27130	27130	28400	-1	-1	-1	-1	-1	-1	-1	-1	300	300	300	300	3774	166000
281	85958063	85958063	5.7872	4.8775	500	100	500	100	500	100	500	100	500	50	500	50	500	200	163379	61536	70517	7052	41786	47166	111259	86348	87608	93288	18774	43174	820800	0	5000	8480	1194200	27283	27283	28500	-1	-1	-1	-1	-1	-1	-1	-1	302	302	302	302	3798	166000
282	87530721	87530721	5.8064	4.892	500	100	500	100	500	100	500	100	500	50	500	50	500	200	165021	62090	71203	7120	42330	47766	112458	87244	88516	94342	18986	43622	825840	0	5000	8510	1202680	27437	27437	28600	-1	-1	-1	-1	-1	-1	-1	-1	304	304	304	304	3822	166000
283	89169523	89169523	5.8255	4.9065	500	100	500	100	500	100	500	100	500	50	500	50	500	200	166674	62646	71894	7189	42880	48370	113667	88146	89430	95405	19200	44073	831600	0	5000	8540	1211190	27591	27591	28700	-1	-1	-1	-1	-1	-1	-1	-1	306	306	306	306	3848	166000
284	90783885	90783885	5.8447	4.921	500	100	500	100	500	100	500	100	500	50	500	50	500	200	168339	63206	72590	7259	43436	48982	114886	89055	90351	96477	19416	44527	836640	0	5000	8570	1219730	27746	27746	28800	-1	-1	-1	-1	-1	-1	-1	-1	308	308	308	308	3872	166000
285	92467160	92467160	5.8639	4.9355	500	100	500	100	500	100	500	100	500	50	500	50	500	200	170015	63769	73290	7329	43998	49598	116114	89970	91279	97558	19634	44985	842400	0	5000	8600	1228300	27902	27902	28900	-1	-1	-1	-1	-1	-1	-1	-1	310	310	310	310	3898	166000
286	94125220	94125220	5.8831	4.95	500	100	500	100	500	100	500	100	500	50	500	50	500	200	171703	64334	73995	7400	44566	50220	117351	90892	92213	98648	19853	45446	847440	0	5000	8630	1236900	28058	28058	29000	-1	-1	-1	-1	-1	-1	-1	-1	312	312	312	312	3922	166000
287	95805090	95805090	5.9022	4.9645	500	100	500	100	500	100	500	100	500	50	500	50	500	200	173403	64903	74705	7471	45138	50850	118599	91821	93154	99747	20074	45911	852480	0	5000	8660	1245530	28214	28214	29100	-1	-1	-1	-1	-1	-1	-1	-1	314	314	314	314	3946	166000
288	97554600	97554600	5.9214	4.979	500	100	500	100	500	100	500	100	500	50	500	50	500	200	175114	65475	75420	7542	45716	51484	119855	92757	94103	100856	20297	46378	858240	0	5000	8690	1254190	28371	28371	29200	-1	-1	-1	-1	-1	-1	-1	-1	316	316	316	316	3972	166000
289	99277683	99277683	5.9406	4.9935	500	100	500	100	500	100	500	100	500	50	500	50	500	200	176836	66050	76139	7614	46300	52124	121122	93699	95058	101974	20522	46850	863280	0	5000	8720	1262880	28529	28529	29300	-1	-1	-1	-1	-1	-1	-1	-1	318	318	318	318	3996	166000
290	101074701	101074701	5.9598	5.008	500	100	500	100	500	100	500	100	500	50	500	50	500	200	178571	66628	76863	7686	46890	52770	122398	94649	96020	103101	20749	47324	869040	0	5000	8750	1271600	28687	28687	29400	-1	-1	-1	-1	-1	-1	-1	-1	320	320	320	320	4022	166000
