INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
355	艾德·布鲁斯	94	1	21284	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	801	975	1995	264	306	366
356	卡特·丹尼尔	90	0	19268	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	825	3048	178	388	214
357	史密斯·斯派克	90	0	19724	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	687	871	2844	171	395	220
358	艾丽丝·艾希	90	2	19432	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	742	887	2386	170	292	261
359	福克斯·伯特	90	0	19508	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	700	834	3009	181	382	213
360	菲尔德·杰瑞	94	1	21692	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	821	1005	1956	265	310	367
361	帕姬·马德琳	90	2	19296	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	710	898	2448	171	288	263
362	安娜·艾德琳	90	2	19408	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	736	887	2437	171	283	268
363	帕姬·贾斯敏	90	2	19348	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	725	911	2344	171	283	257
364	享特·康斯坦丝	92	1	20956	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	776	964	1949	256	305	367
365	库克·伯特	94	1	21176	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	806	962	1965	259	308	362
366	布鲁克·伊夫力	90	0	19164	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	677	833	2899	174	379	208
367	肯特·阿诺	94	1	21128	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	795	969	1952	265	316	353
368	斯托克·昆廷	90	0	19668	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	707	836	2938	178	394	219
369	大卫·格纳	92	1	20864	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	781	969	1957	253	304	346
370	菲尔德·柏格	90	0	19476	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	672	855	2960	171	393	210
371	大卫·纳撒尼尔	90	0	19468	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	666	865	2908	179	383	220
372	芭比·黛布拉	90	2	19344	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	718	900	2461	165	290	256
373	凯拉·米洛娃	90	2	19148	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	707	900	2403	165	279	259
374	克顿·安	90	0	19448	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	696	829	2904	180	391	216
375	怀特·哈威	94	1	21120	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	798	975	2050	261	302	347
376	艾登·格纳	94	1	21636	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	823	1003	2068	258	311	348
377	亚伯·以利亚	90	0	19460	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	681	866	2870	173	370	220
378	凯拉·南茜	90	2	19172	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	730	866	2456	162	294	253
379	巴德·凯希	90	0	19656	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	690	864	3024	173	374	218
380	卡特·凯尔	90	0	19568	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	687	867	2928	170	376	215
381	斯托克·安德鲁	94	1	21176	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	776	988	2081	265	306	356
382	大卫·安其罗	92	1	20724	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	773	953	1998	261	301	351
383	本·奥德里奇	90	0	19180	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	680	819	2871	177	389	214
384	简·厄里斯	90	2	19196	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	725	876	2407	161	282	268
385	卡门·堂娜	90	2	19432	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	738	911	2407	170	277	254
386	史密斯·里奇	94	1	21244	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	776	992	2071	268	303	364
387	杰瑞·特伦斯	92	1	20836	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	770	962	2038	261	299	357
388	贝克·马克	94	1	21356	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	801	981	2001	269	312	362
389	凯尔西·阿加莎	90	2	19356	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	742	874	2383	168	293	264
390	特纳·赫伯特	90	0	19388	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	855	2998	178	380	212
391	安娜·德洛丽丝	90	2	19128	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	731	875	2409	164	284	252
392	霍尔·以利亚	92	1	20948	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	780	965	1954	269	313	352
393	大卫·查尔斯	90	0	19204	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	669	838	2910	174	386	208
394	巴德·葛瑞丝	92	1	20980	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	790	947	2009	254	314	358
395	怀特·肯尼斯	90	0	19072	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	678	827	2868	172	372	212
396	布朗·迈克尔	90	0	19244	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	682	830	2905	180	376	218
397	巴克·鲁宾逊	90	0	19232	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	666	864	2836	174	373	209
398	库克·亚希伯恩	90	0	19172	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	666	851	2851	170	374	212
399	扬·扎克	90	0	19504	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	694	864	2977	173	367	207
400	伍德·安纳贝尔	90	0	19536	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	688	862	2961	179	374	213
401	亚当·契布曼	90	0	19092	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	674	829	2908	180	374	210
402	保拉·阿莎加尔	90	2	19224	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	724	884	2430	167	291	253
403	玛莎·索菲娅	90	2	19240	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	735	869	2351	167	292	266
404	玛丽安·萨妮	90	2	19204	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	907	2396	161	291	252
405	雷克·巴萨罗穆	90	0	19360	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	702	825	2971	180	372	215
406	苏珊·乔伊斯	90	2	19168	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	707	892	2401	166	284	265
407	伊娃·厄瑞妮	90	2	19424	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	730	901	2378	166	284	267
408	艾达·贝芙丽	90	2	19196	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	705	906	2373	168	288	255
409	福克斯·查尔斯	90	0	19208	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	692	818	2974	177	370	215
410	史密斯·路易斯	92	1	20996	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	776	965	2056	258	307	358
411	杰瑞·布鲁诺	90	0	19248	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	665	846	2944	178	374	218
412	艾丹·安	87	0	18972	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	819	2919	176	378	206
413	乔治·亚希伯恩	92	1	20824	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	777	965	1967	255	301	351
414	库克·柏得温	94	1	21388	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	813	991	2024	262	303	351
415	伍德·安东尼	94	1	21152	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	784	990	2018	253	306	350
416	郎曼·艾德文	90	0	19468	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	695	833	2917	178	388	217
417	布鲁克·爱迪生	90	0	19552	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	697	857	2988	172	374	209
418	布莱恩·塞西	92	1	20904	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	792	956	1967	253	302	354
419	布鲁克·哈乐德	90	0	19120	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	665	836	2939	171	377	210
420	贝克·杰克逊	94	1	21108	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	795	985	1954	262	304	346
421	里德·阿奇尔	90	0	19240	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	678	836	2937	171	381	208
422	霍尔·克莱儿	90	0	19292	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	685	838	2939	174	370	216
423	杰瑞·艾伦	92	1	20900	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	775	953	1994	265	309	363
424	艾莉·朱丽叶	90	2	19216	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	730	880	2378	166	283	263
425	贝克·加里	90	0	19196	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	681	830	2871	174	385	208
426	雷克·巴特莱	90	0	19148	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	671	844	2951	170	368	207
427	汉德·马西	90	0	19144	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	664	834	2975	172	378	211
428	库克·蒂莫西	94	1	21036	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	783	969	1985	263	306	360
429	妮可·赫柏	87	2	18952	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	722	869	2371	160	280	253
430	菲尔德·劳伦斯	92	1	20952	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	787	952	2031	265	308	356
431	布莱恩·克拉克	94	1	21192	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	800	977	1972	259	308	354
432	玛莎·尤露莱特	90	2	19212	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	719	892	2415	163	276	265
433	亚当·柏格	90	0	19168	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	680	836	2857	172	375	211
434	韦尔·富宾恩	90	0	19152	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	670	822	2967	174	382	215
435	芭迪·爱丝特	90	2	19208	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	723	894	2379	164	278	260
436	肖特·毕夏普	92	1	20816	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	792	945	2024	254	304	346
437	肯特·西莱斯特	92	1	20728	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	771	948	2012	260	304	354
438	库克·西德尼	92	1	20840	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	790	955	1955	259	303	349
439	布莱恩·维克多	92	1	20912	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	798	955	1952	262	299	354
440	本·范	94	1	21156	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	808	968	1991	253	309	348
441	霍克·李	90	0	19432	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	685	848	2926	170	379	216
442	郎曼·布兰登	92	1	20996	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	801	956	2038	261	298	353
443	韦尔·尤利塞斯	90	0	19288	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	682	851	2863	177	372	211
444	汉德·玛德琳	92	1	20800	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	772	958	2022	260	303	352
445	雷克·布兰登	92	1	20916	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	798	943	2016	261	307	352
446	卡门·雪莉	90	2	19008	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	719	874	2331	164	282	260
447	扬·哈里森	92	1	20784	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	784	947	2002	261	309	345
448	安·莉莎	87	2	18852	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	706	874	2346	165	281	253
449	芬格·雨果	92	1	20936	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	802	952	1991	263	303	348
450	卡特·杰克逊	90	0	19160	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	682	817	2956	175	381	211
451	芭迪·奥利维亚	90	2	19008	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	722	876	2309	165	282	257
452	艾琳·艾薇莱尔	87	2	18824	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	712	855	2319	162	285	261
453	帕姬·尼基塔	87	2	18956	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	730	863	2328	161	279	257
454	巴罗·泰勒	92	1	20892	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	788	965	1975	260	299	349
455	特纳·丹尼尔	94	1	21100	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	799	970	2027	256	302	351
456	斯特林·艾塞亚	90	0	19060	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	680	822	2842	173	378	210
457	乔治·柯帝士	92	1	20860	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	794	957	1961	252	302	346
458	贝克·奥斯顿	90	0	19140	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	678	842	2841	175	371	209
459	艾维·艾维尼亚	87	2	18860	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	865	2393	167	285	257
460	卡特·阿波罗	92	1	20868	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	794	943	1952	253	308	356
461	汉德·杰伊	87	0	18884	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	666	816	2931	170	367	210
462	布朗·亚特兰特	90	0	19092	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	681	829	2841	173	376	208
463	伯德·西德尼	87	0	18984	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	686	814	2838	172	370	211
464	布鲁克·凯希	92	1	20976	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	791	975	1955	253	299	349
465	修·波文	92	1	20800	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	780	950	2006	257	298	359
466	芬格·葛瑞丝	90	0	19300	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	680	843	2939	173	373	214
467	艾德·达尔西	90	0	19188	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	679	833	2864	170	381	211
468	布朗·布鲁斯	92	1	20632	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	776	944	1982	260	301	347
469	艾比·伊莎妮尔	90	2	19060	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	718	885	2335	163	276	262
470	巴德·伊迪丝	90	0	19248	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	670	839	2927	170	382	214
471	米尔·柏格	87	0	18944	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	664	820	2907	175	373	212
472	贝克·弗恩	92	1	20956	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	796	946	2006	260	308	356
473	卡特·吉罗德	92	1	20692	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	770	964	1960	257	299	345
474	布朗·艾比盖	94	1	21128	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	797	969	2000	261	308	354
475	亚当·塞缪尔	92	1	20772	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	783	951	1958	257	308	346
476	苏·米歇尔	87	2	18744	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	712	860	2322	161	277	254
477	希尔·韩弗理	94	1	21028	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	797	974	1959	255	303	346
478	巴罗·埃文	92	1	20712	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	773	949	2015	257	305	348
479	亚伦·扎克	87	0	18984	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	685	812	2902	176	371	206
480	伊娃·爱斯特尔	87	2	18972	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	712	883	2344	164	277	257
481	珀尔·艾薇儿	87	2	18944	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	885	2383	163	276	258
482	巴克·劳瑞恩	90	0	19036	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	679	826	2843	171	369	213
483	帕姬·丽贝卡	87	2	18780	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	715	857	2315	163	282	254
484	伯德·艾西	92	1	20880	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	774	973	1987	254	299	353
485	达茜·迦娜	87	2	18892	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	712	871	2376	162	277	256
486	安·萨瓦娜	87	2	18928	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	708	867	2370	163	285	261
487	贝克·查尔斯	90	0	19288	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	683	841	2923	174	377	209
488	本·威廉	92	1	20796	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	776	953	1986	261	303	356
489	贝克·伊莱哲	92	1	20780	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	782	957	1951	255	299	352
490	朱莉·梅利莎	87	2	18904	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	713	877	2360	163	275	254
491	斯特林·肯	90	0	19168	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	684	824	2914	174	376	212
492	郎曼·伊甸	92	1	20764	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	787	949	1967	258	303	347
493	艾米丽·韦恩	87	2	18836	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	711	860	2374	165	282	256
494	艾达·沙琳	87	2	18972	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	719	877	2313	165	281	255
495	卡特·夏洛特	90	0	19108	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	681	824	2908	175	377	207
496	巴奈特·福特	92	1	20876	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	785	950	1998	259	308	354
497	艾维·路易莎	87	2	18732	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	699	862	2375	160	283	252
498	贝克·葛列格	92	1	20712	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	787	946	1954	260	301	347
499	安娜·汉娜	87	2	18932	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	718	870	2348	162	276	260
500	巴德·爱尔柏塔	92	1	20876	313103	300103	304103	307103	308103	309103	306103	301103	3	10101	104	105	106	107	8	90	220	140	778	968	2008	258	299	351
501	特纳·林赛	85	1	17596	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	659	801	1680	216	261	300
502	芬格·格吉尔	85	0	17076	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	605	745	2527	162	328	196
503	杰瑞·哈利	87	1	18164	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	670	825	1657	244	292	306
504	乔治·巴尔克	85	0	17052	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	594	764	2652	148	319	182
505	布朗·杰弗瑞	85	1	17876	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	662	806	1794	226	259	317
506	福克斯·哈里森	85	0	17020	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	635	706	2533	165	349	176
507	乔治·阿波罗	85	0	17076	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	596	736	2463	166	357	191
508	福克斯·汉米敦	87	1	18916	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	700	893	1678	243	280	312
509	亚伦·亚恒	87	1	18860	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	677	877	1883	244	270	333
510	波琳·英格丽德	83	2	16580	413103	400103	404103	407103	408103	409103	406103	401103	1	10201	204	205	206	207	90	220	8	140	606	749	2225	141	250	238
511	巴德·布莱迪	90	1	19184	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	725	921	1746	217	262	305
512	安娜·莱瑞拉	83	2	16892	413103	400103	404103	407103	408103	409103	406103	401103	1	10201	204	205	206	207	90	220	8	140	657	766	2023	153	247	232
513	艾维·蒙多莉亚	83	2	16856	413103	400103	404103	407103	408103	409103	406103	401103	1	10201	204	205	206	207	90	220	8	140	657	767	1969	146	244	235
514	贝克·克莱斯特	85	0	17008	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	604	701	2750	149	355	184
515	布尔·葛里菲兹	85	0	17404	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	626	753	2750	159	327	187
516	希尔·亚伯拉罕	87	1	18292	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	700	812	1894	225	281	293
517	特纳·海顿	87	1	18424	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	679	878	1666	216	262	307
518	巴克·列得	87	1	18556	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	724	819	1747	218	257	334
519	福克斯·凯理	85	0	17332	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	603	777	2501	151	330	199
520	贝克·扎克	83	0	16280	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	566	694	2411	163	325	201
521	里德·阿奇柏德	85	0	17024	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	584	773	2655	157	314	184
522	里德·夏佐	87	1	18600	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	750	809	1773	242	284	293
523	卡特·艾德文	87	1	18524	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	740	800	1711	216	278	316
524	卡门·维纳斯	83	2	16612	413103	400103	404103	407103	408103	409103	406103	401103	1	10201	204	205	206	207	90	220	8	140	639	744	2166	138	240	230
525	亚伯·所罗门	87	1	18544	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	730	809	1787	226	259	330
526	艾米瑞达·希拉	85	2	17348	413103	400103	404103	407103	408103	409103	406103	401103	1	10201	204	205	206	207	90	220	8	140	658	783	2159	153	267	237
527	杰瑞·巴尔克	85	0	17068	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	584	755	2754	163	318	193
528	史密斯·范	87	1	18092	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	660	822	1751	230	288	305
529	雷克·雷欧	83	0	16820	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	599	691	2677	165	347	190
530	巴克·托德	83	0	16740	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	566	740	2431	153	358	178
531	布莱恩·丹尼	90	1	19200	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	740	905	1720	224	268	304
532	巴罗·西瑞尔	85	0	17180	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	615	760	2607	145	315	190
533	特纳·奥布里	87	1	18404	313103	300103	304103	307103	308103	309103	306103	301103	1	10101	104	105	106	107	8	90	220	140	691	845	1884	222	254	311
534	巴奈特·爱德华	85	0	17540	213103	200103	204103	207103	208103	209103	206103	201103	1	10001	4	5	6	8	220	90	8	140	626	781	2728	154	315	190
