INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
6188	2	-1	0	-1	0	1	0	-1	-1	0	3	6188	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6189	2	-1	0	-1	0	1	0	-1	-1	0	3	6189	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6190	2	-1	0	-1	0	1	0	-1	-1	0	3	6190	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6191	2	-1	0	-1	0	1	0	-1	-1	0	3	6191	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6192	2	-1	0	-1	0	1	0	-1	-1	0	3	6192	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6193	2	-1	0	-1	0	1	0	-1	-1	0	3	6193	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6194	2	-1	0	-1	0	1	0	-1	-1	0	3	6194	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6195	2	-1	0	-1	0	1	0	-1	-1	0	3	6195	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6196	2	-1	0	-1	0	1	0	-1	-1	0	3	6196	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6197	2	-1	0	-1	0	1	0	-1	-1	0	3	6197	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6198	2	-1	0	-1	0	1	0	-1	-1	0	3	6198	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6199	2	-1	0	-1	0	1	0	-1	-1	0	3	6199	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6200	2	-1	0	-1	0	1	0	-1	-1	0	3	6200	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6201	2	-1	0	-1	0	1	0	-1	-1	0	3	6201	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6202	2	-1	0	-1	0	1	0	-1	-1	0	3	6202	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6203	2	-1	0	-1	0	1	0	-1	-1	0	3	6203	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6204	2	-1	0	-1	0	1	0	-1	-1	0	3	6204	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6205	2	-1	0	-1	0	1	0	-1	-1	0	3	6205	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6206	2	-1	0	-1	0	1	0	-1	-1	0	3	6206	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6207	2	-1	0	-1	0	1	0	-1	-1	0	3	6207	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6208	2	-1	0	-1	0	1	0	-1	-1	0	3	6208	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6209	2	-1	0	-1	0	1	0	-1	-1	0	3	6209	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6210	2	-1	0	-1	0	1	0	-1	-1	0	3	6210	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6211	2	-1	0	-1	0	1	0	-1	-1	0	3	6211	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6212	2	-1	0	-1	0	1	0	-1	-1	0	3	6212	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6213	2	-1	0	-1	0	1	0	-1	-1	0	3	6213	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6214	2	-1	0	-1	0	1	0	-1	-1	0	3	6214	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6215	2	-1	0	-1	0	1	0	-1	-1	0	3	6215	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6216	2	-1	0	-1	0	1	0	-1	-1	0	3	6216	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6217	2	-1	0	-1	0	1	0	-1	-1	0	3	6217	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6218	2	-1	0	-1	0	1	0	-1	-1	0	3	6218	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6219	2	-1	0	-1	0	1	0	-1	-1	0	3	6219	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6220	2	-1	0	-1	0	1	0	-1	-1	0	3	6220	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6221	2	-1	0	-1	0	1	0	-1	-1	0	3	6221	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6222	2	-1	0	-1	0	1	0	-1	-1	0	3	6222	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6223	2	-1	0	-1	0	1	0	-1	-1	0	3	6223	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6224	2	-1	0	-1	0	1	0	-1	-1	0	3	6224	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6225	2	-1	0	-1	0	1	0	-1	-1	0	3	6225	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6226	2	-1	0	-1	0	1	0	-1	-1	0	3	6226	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6227	2	-1	0	-1	0	1	0	-1	-1	0	3	6227	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6228	2	-1	0	-1	0	1	0	-1	-1	0	3	6228	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6229	2	-1	0	-1	0	1	0	-1	-1	0	3	6229	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6230	2	-1	0	-1	0	1	0	-1	-1	0	3	6230	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6231	2	-1	0	-1	0	1	0	-1	-1	0	3	6231	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6232	2	-1	0	-1	0	1	0	-1	-1	0	3	6232	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6233	2	-1	0	-1	0	1	0	-1	-1	0	3	6233	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6234	2	-1	0	-1	0	1	0	-1	-1	0	3	6234	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6235	2	-1	0	-1	0	1	0	-1	-1	0	3	6235	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6236	2	-1	0	-1	0	1	0	-1	-1	0	3	6236	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6237	2	-1	0	-1	0	1	0	-1	-1	0	3	6237	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6238	2	-1	0	-1	0	1	0	-1	-1	0	3	6238	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6239	2	-1	0	-1	0	1	0	-1	-1	0	3	6239	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6240	2	-1	0	-1	0	1	0	-1	-1	0	3	6240	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6241	2	-1	0	-1	0	1	0	-1	-1	0	3	6241	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6242	2	-1	0	-1	0	1	0	-1	-1	0	3	6242	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6243	2	-1	0	-1	0	1	0	-1	-1	0	3	6243	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6244	2	-1	0	-1	0	1	0	-1	-1	0	3	6244	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6245	2	-1	0	-1	0	1	0	-1	-1	0	3	6245	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6246	2	-1	0	-1	0	1	0	-1	-1	0	3	6246	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6247	2	-1	0	-1	0	1	0	-1	-1	0	3	6247	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6248	2	-1	0	-1	0	1	0	-1	-1	0	3	6248	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6249	2	-1	0	-1	0	1	0	-1	-1	0	3	6249	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6250	2	-1	0	-1	0	1	0	-1	-1	0	3	6250	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6251	2	-1	0	-1	0	1	0	-1	-1	0	3	6251	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6252	2	-1	0	-1	0	1	0	-1	-1	0	3	6252	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6253	2	-1	0	-1	0	1	0	-1	-1	0	3	6253	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6254	2	-1	0	-1	0	1	0	-1	-1	0	3	6254	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6255	2	-1	0	-1	0	1	0	-1	-1	0	3	6255	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6256	2	-1	0	-1	0	1	0	-1	-1	0	3	6256	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6257	2	-1	0	-1	0	1	0	-1	-1	0	3	6257	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6258	2	-1	0	-1	0	1	0	-1	-1	0	3	6258	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6259	2	-1	0	-1	0	1	0	-1	-1	0	3	6259	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6260	2	-1	0	-1	0	1	0	-1	-1	0	3	6260	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6261	2	-1	0	-1	0	1	0	-1	-1	0	3	6261	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6262	2	-1	0	-1	0	1	0	-1	-1	0	3	6262	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6263	2	-1	0	-1	0	1	0	-1	-1	0	3	6263	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6264	2	-1	0	-1	0	1	0	-1	-1	0	3	6264	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6265	2	-1	0	-1	0	1	0	-1	-1	0	3	6265	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6266	2	-1	0	-1	0	1	0	-1	-1	0	3	6266	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6267	2	-1	0	-1	0	1	0	-1	-1	0	3	6267	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6268	2	-1	0	-1	0	1	0	-1	-1	0	3	6268	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6269	2	-1	0	-1	0	1	0	-1	-1	0	3	6269	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6270	2	-1	0	-1	0	1	0	-1	-1	0	3	6270	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6271	2	-1	0	-1	0	1	0	-1	-1	0	3	6271	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6272	2	-1	0	-1	0	1	0	-1	-1	0	3	6272	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6273	2	-1	0	-1	0	1	0	-1	-1	0	3	6273	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6274	2	-1	0	-1	0	1	0	-1	-1	0	3	6274	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6275	2	-1	0	-1	0	1	0	-1	-1	0	3	6275	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6276	2	-1	0	-1	0	1	0	-1	-1	0	3	6276	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6277	2	-1	0	-1	0	1	0	-1	-1	0	3	6277	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6278	2	-1	0	-1	0	1	0	-1	-1	0	3	6278	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6279	2	-1	0	-1	0	1	0	-1	-1	0	3	6279	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6280	2	-1	0	-1	0	1	0	-1	-1	0	3	6280	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6281	2	-1	0	-1	0	1	0	-1	-1	0	3	6281	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6282	2	-1	0	-1	0	1	0	-1	-1	0	3	6282	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6283	2	-1	0	-1	0	1	0	-1	-1	0	3	6283	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6284	2	-1	0	-1	0	1	0	-1	-1	0	3	6284	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6285	2	-1	0	-1	0	1	0	-1	-1	0	3	6285	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6286	2	-1	0	-1	0	1	0	-1	-1	0	3	6286	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6287	2	-1	0	-1	0	1	0	-1	-1	0	3	6287	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6288	2	-1	0	-1	0	1	0	-1	-1	0	3	6288	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6289	2	-1	0	-1	0	1	0	-1	-1	0	3	6289	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6290	2	-1	0	-1	0	1	0	-1	-1	0	3	6290	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6291	2	-1	0	-1	0	1	0	-1	-1	0	3	6291	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6292	2	-1	0	-1	0	1	0	-1	-1	0	3	6292	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6293	2	-1	0	-1	0	1	0	-1	-1	0	3	6293	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6294	2	-1	0	-1	0	1	0	-1	-1	0	3	6294	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
6295	2	-1	0	-1	0	1	0	-1	-1	0	3	6295	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
