INT	INT	STRING	INT	INT	INT	INT	INT
110692	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110693	0	364|441|500|566|637|782|867|1020|1106|1196|1291|1391|1496|1605|1718|1836|1960|2079|2185|2293|2404|2517|2633|2752|2874|2999|3145|3295|3450|3609|3773|3942|4114|4293|4476|4665|4858|5056|5260|5469|5685|5904|6130|6362|6599|6843|7090|7339|7593|7853	-1	-1	-1	-1	-1
110694	0	468|566|644|728|819|1006|1114|1311|1421|1537|1659|1789|1924|2064|2209|2360|2519|2673|2809|2948|3090|3236|3386|3539|3695|3856|4043|4237|4435|4640|4850|5067|5291|5520|5755|5997|6246|6501|6764|7032|7309|7591|7882|8180|8485|8798|9117|9436|9763|10097	-1	-1	-1	-1	-1
110695	0	319|386|438|495|557|684|758|892|967|1046|1130|1217|1309|1404|1503|1607|1715|1819|1912|2006|2103|2203|2304|2408|2515|2624|2752|2883|3019|3158|3301|3449|3600|3756|3917|4082|4250|4424|4603|4786|4974|5166|5364|5567|5774|5988|6204|6422|6644|6872	-1	-1	-1	-1	-1
110696	0	409|495|563|637|717|880|975|1147|1243|1345|1452|1565|1683|1806|1933|2065|2204|2339|2458|2579|2704|2831|2963|3097|3233|3374|3538|3707|3881|4060|4244|4434|4629|4830|5036|5248|5465|5688|5918|6153|6395|6642|6897|7158|7424|7698|7977|8257|8542|8835	-1	-1	-1	-1	-1
110697	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110698	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110699	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110700	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110701	0	11491|12973|14510|16102|17749|19452|21209|23021|24889|26811|28788|30821|32908|35050|37248|39500|41807|44170|46587|49060|51587|54170|56807|59500|62247|65050|67907|70820|73787|76810|79888|83020|86208|89450|92748|96101|99509|102971|106489|110062|113690|117372|121110|124903|128751|132653|136611|140624|144692|148815	-1	-1	-1	-1	-1
110702	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110703	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110704	0	387|468|532|601|677|831|921|1083|1175|1271|1372|1478|1590|1705|1825|1951|2082|2209|2321|2436|2554|2675|2798|2924|3054|3186|3341|3501|3665|3834|4008|4188|4372|4561|4756|4956|5161|5372|5589|5811|6040|6273|6513|6759|7012|7271|7534|7798|8068|8344	-1	-1	-1	-1	-1
110705	0	497|602|684|773|870|1069|1184|1393|1510|1633|1763|1900|2044|2193|2347|2508|2677|2840|2985|3132|3283|3438|3597|3760|3926|4097|4296|4501|4712|4930|5153|5384|5621|5865|6115|6372|6636|6907|7186|7472|7766|8066|8374|8691|9015|9348|9686|10026|10373|10728	-1	-1	-1	-1	-1
110706	0	364|441|500|566|637|782|867|1020|1106|1196|1291|1391|1496|1605|1718|1836|1960|2079|2185|2293|2404|2517|2633|2752|2874|2999|3145|3295|3450|3609|3773|3942|4114|4293|4476|4665|4858|5056|5260|5469|5685|5904|6130|6362|6599|6843|7090|7339|7593|7853	-1	-1	-1	-1	-1
110707	0	468|566|644|728|819|1006|1114|1311|1421|1537|1659|1789|1924|2064|2209|2360|2519|2673|2809|2948|3090|3236|3386|3539|3695|3856|4043|4237|4435|4640|4850|5067|5291|5520|5755|5997|6246|6501|6764|7032|7309|7591|7882|8180|8485|8798|9117|9436|9763|10097	-1	-1	-1	-1	-1
110708	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110709	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110710	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110711	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110712	0	11491|12973|14510|16102|17749|19452|21209|23021|24889|26811|28788|30821|32908|35050|37248|39500|41807|44170|46587|49060|51587|54170|56807|59500|62247|65050|67907|70820|73787|76810|79888|83020|86208|89450|92748|96101|99509|102971|106489|110062|113690|117372|121110|124903|128751|132653|136611|140624|144692|148815	-1	-1	-1	-1	-1
110713	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110714	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110715	0	433|524|594|672|756|929|1029|1211|1313|1420|1533|1651|1777|1906|2040|2180|2327|2469|2594|2723|2854|2989|3127|3268|3413|3561|3735|3912|4097|4286|4480|4681|4886|5098|5315|5540|5768|6004|6246|6495|6750|7011|7279|7555|7837|8126|8420|8715|9017|9326	-1	-1	-1	-1	-1
110716	0	556|672|764|864|973|1194|1323|1557|1687|1825|1970|2124|2285|2451|2623|2803|2992|3174|3336|3500|3670|3843|4021|4202|4388|4579|4801|5031|5267|5510|5760|6018|6283|6555|6834|7122|7417|7720|8032|8351|8679|9015|9360|9714|10076|10447|10826|11205|11593|11991	-1	-1	-1	-1	-1
110717	0	273|331|375|424|478|587|650|765|829|897|968|1043|1122|1204|1288|1377|1470|1559|1638|1720|1803|1888|1975|2064|2156|2249|2359|2471|2587|2707|2829|2956|3086|3219|3357|3499|3643|3792|3945|4102|4263|4428|4598|4771|4950|5132|5318|5504|5695|5890	-1	-1	-1	-1	-1
110718	0	351|425|483|546|614|754|836|983|1066|1153|1244|1341|1443|1548|1657|1770|1889|2005|2107|2211|2318|2427|2539|2654|2772|2892|3032|3177|3326|3480|3638|3801|3968|4140|4316|4498|4684|4876|5073|5274|5482|5693|5911|6135|6364|6598|6837|7077|7322|7573	-1	-1	-1	-1	-1
110719	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110720	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110721	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110722	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110723	0	13645|15405|17231|19121|21077|23099|25186|27337|29555|31837|34186|36600|39078|41622|44232|46906|49646|52452|55323|58258|61259|64326|67458|70656|73919|77246|80640|84099|87622|91212|94867|98586|102372|106222|110139|114119|118167|122278|126456|130698|135006|139380|143818|148322|152892|157526|162226|166991|171822|176718	-1	-1	-1	-1	-1
110724	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110725	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110726	0	433|524|594|672|756|929|1029|1211|1313|1420|1533|1651|1777|1906|2040|2180|2327|2469|2594|2723|2854|2989|3127|3268|3413|3561|3735|3912|4097|4286|4480|4681|4886|5098|5315|5540|5768|6004|6246|6495|6750|7011|7279|7555|7837|8126|8420|8715|9017|9326	-1	-1	-1	-1	-1
110727	0	556|672|764|864|973|1194|1323|1557|1687|1825|1970|2124|2285|2451|2623|2803|2992|3174|3336|3500|3670|3843|4021|4202|4388|4579|4801|5031|5267|5510|5760|6018|6283|6555|6834|7122|7417|7720|8032|8351|8679|9015|9360|9714|10076|10447|10826|11205|11593|11991	-1	-1	-1	-1	-1
110728	0	273|331|375|424|478|587|650|765|829|897|968|1043|1122|1204|1288|1377|1470|1559|1638|1720|1803|1888|1975|2064|2156|2249|2359|2471|2587|2707|2829|2956|3086|3219|3357|3499|3643|3792|3945|4102|4263|4428|4598|4771|4950|5132|5318|5504|5695|5890	-1	-1	-1	-1	-1
110729	0	351|425|483|546|614|754|836|983|1066|1153|1244|1341|1443|1548|1657|1770|1889|2005|2107|2211|2318|2427|2539|2654|2772|2892|3032|3177|3326|3480|3638|3801|3968|4140|4316|4498|4684|4876|5073|5274|5482|5693|5911|6135|6364|6598|6837|7077|7322|7573	-1	-1	-1	-1	-1
110730	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110731	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110732	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110733	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110734	0	13645|15405|17231|19121|21077|23099|25186|27337|29555|31837|34186|36600|39078|41622|44232|46906|49646|52452|55323|58258|61259|64326|67458|70656|73919|77246|80640|84099|87622|91212|94867|98586|102372|106222|110139|114119|118167|122278|126456|130698|135006|139380|143818|148322|152892|157526|162226|166991|171822|176718	-1	-1	-1	-1	-1
110735	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110736	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110737	0	442|535|607|686|772|948|1051|1236|1340|1450|1565|1686|1814|1946|2083|2226|2376|2521|2649|2780|2915|3052|3193|3337|3485|3636|3813|3995|4183|4376|4574|4779|4989|5205|5427|5656|5890|6131|6378|6632|6893|7159|7433|7714|8002|8297|8597|8899|9207|9522	-1	-1	-1	-1	-1
110738	0	567|687|780|883|993|1220|1351|1589|1723|1864|2012|2169|2333|2502|2678|2862|3055|3241|3406|3574|3747|3924|4105|4291|4481|4675|4902|5137|5378|5626|5881|6144|6415|6692|6978|7272|7573|7882|8201|8527|8862|9204|9557|9918|10288|10667|11054|11441|11837|12243	-1	-1	-1	-1	-1
110739	0	301|364|413|467|525|645|715|841|912|987|1065|1147|1234|1324|1417|1515|1617|1715|1802|1892|1983|2077|2173|2271|2371|2474|2595|2718|2846|2977|3112|3252|3394|3541|3693|3849|4008|4171|4340|4512|4690|4871|5057|5248|5444|5645|5850|6055|6264|6479	-1	-1	-1	-1	-1
110740	0	386|467|531|601|676|830|919|1081|1172|1268|1369|1476|1587|1703|1822|1947|2078|2205|2317|2432|2549|2670|2793|2920|3049|3181|3336|3495|3659|3828|4002|4181|4365|4554|4748|4948|5153|5363|5580|5802|6030|6263|6502|6749|7000|7258|7521|7785|8054|8330	-1	-1	-1	-1	-1
110741	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110742	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110743	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110744	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110745	0	13214|14919|16687|18517|20412|22369|24390|26474|28622|30832|33106|35444|37844|40307|42835|45425|48078|50795|53576|56419|59325|62295|65328|68425|71584|74807|78094|81443|84855|88332|91871|95473|99139|102868|106661|110516|114435|118417|122462|126571|130743|134978|139277|143638|148063|152551|157103|161718|166396|171138	-1	-1	-1	-1	-1
110746	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110747	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110748	0	455|551|625|707|796|978|1083|1275|1382|1495|1614|1738|1870|2006|2147|2295|2449|2599|2731|2866|3005|3147|3292|3440|3593|3749|3931|4118|4312|4511|4716|4927|5143|5366|5595|5831|6072|6320|6575|6837|7106|7380|7663|7952|8249|8554|8863|9174|9492|9817	-1	-1	-1	-1	-1
110749	0	585|708|804|910|1024|1257|1393|1638|1776|1921|2074|2236|2405|2580|2761|2950|3149|3341|3511|3684|3863|4045|4232|4424|4619|4820|5054|5296|5544|5800|6063|6334|6613|6899|7194|7497|7807|8126|8455|8790|9136|9489|9852|10225|10606|10997|11396|11795|12203|12622	-1	-1	-1	-1	-1
110750	0	319|386|438|495|557|684|758|892|967|1046|1130|1217|1309|1404|1503|1607|1715|1819|1912|2006|2103|2203|2304|2408|2515|2624|2752|2883|3019|3158|3301|3449|3600|3756|3917|4082|4250|4424|4603|4786|4974|5166|5364|5567|5774|5988|6204|6422|6644|6872	-1	-1	-1	-1	-1
110751	0	409|495|563|637|717|880|975|1147|1243|1345|1452|1565|1683|1806|1933|2065|2204|2339|2458|2579|2704|2831|2963|3097|3233|3374|3538|3707|3881|4060|4244|4434|4629|4830|5036|5248|5465|5688|5918|6153|6395|6642|6897|7158|7424|7698|7977|8257|8542|8835	-1	-1	-1	-1	-1
110752	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110753	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110754	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110755	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110756	0	12927|14595|16324|18115|19968|21883|23860|25898|28000|30162|32386|34673|37021|39431|41904|44437|47033|49691|52411|55192|58035|60941|63908|66937|70028|73181|76396|79672|83011|86411|89874|93398|96984|100632|104342|108113|111947|115843|119800|123819|127901|132044|136249|140516|144845|149235|153688|158202|162779|167417	-1	-1	-1	-1	-1
110757	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110758	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110759	0	455|551|625|707|796|978|1083|1275|1382|1495|1614|1738|1870|2006|2147|2295|2449|2599|2731|2866|3005|3147|3292|3440|3593|3749|3931|4118|4312|4511|4716|4927|5143|5366|5595|5831|6072|6320|6575|6837|7106|7380|7663|7952|8249|8554|8863|9174|9492|9817	-1	-1	-1	-1	-1
110760	0	585|708|804|910|1024|1257|1393|1638|1776|1921|2074|2236|2405|2580|2761|2950|3149|3341|3511|3684|3863|4045|4232|4424|4619|4820|5054|5296|5544|5800|6063|6334|6613|6899|7194|7497|7807|8126|8455|8790|9136|9489|9852|10225|10606|10997|11396|11795|12203|12622	-1	-1	-1	-1	-1
110761	0	287|347|394|445|502|616|682|803|871|942|1017|1095|1178|1264|1353|1446|1543|1637|1720|1806|1893|1982|2074|2167|2264|2362|2477|2595|2717|2842|2971|3104|3240|3380|3525|3674|3825|3982|4142|4307|4477|4650|4827|5010|5197|5389|5584|5780|5980|6185	-1	-1	-1	-1	-1
110762	0	369|446|507|573|645|792|877|1032|1119|1210|1307|1409|1515|1625|1740|1859|1984|2105|2212|2321|2433|2548|2666|2787|2910|3036|3184|3336|3493|3654|3820|3991|4166|4347|4532|4723|4918|5120|5326|5538|5756|5978|6207|6442|6682|6928|7179|7431|7688|7952	-1	-1	-1	-1	-1
110763	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110764	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110765	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110766	0	32|48|61|77|96|131|158|186|208|229|254|279|307|337|368|397|427|457|484|513|542|571|602|634|667|702|742|785|829|875|922|972|1024|1077|1132|1190|1248|1309|1372|1439|1506|1575|1648|1723|1800|1879|1960|2045|2132|2221	-1	-1	-1	-1	-1
110767	0	13932|15730|17593|19524|21521|23585|25716|27913|30177|32508|34905|37370|39900|42498|45163|47893|50691|53556|56487|59485|62549|65681|68878|72143|75475|78873|82338|85869|89467|93132|96864|100662|104527|108459|112458|116522|120654|124853|129118|133450|137849|142314|146846|151445|156110|160842|165641|170507|175440|180439	-1	-1	-1	-1	-1
110768	0	561|708|791|879|972|1070|1158|1234|1313|1394|1476|1561|1646|1734|1823|1913|2006|2099|2192|2286|2382|2478|2576|2675|2776|2877|2983|3091|3200|3310|3422|3535|3650|3767|3885|4004|4125|4247|4371|4496|4623|4751|4881|5012|5161|5320|5482|5646|5813|5983	-1	-1	-1	-1	-1
110769	0	702|839|931|1028|1131|1241|1346|1579|1690|1807|1928|2054|2185|2321|2460|2586|2715|2841|2959|3078|3198|3320|3443|3568|3694|3822|3973|4127|4284|4444|4607|4773|4942|5114|5290|5468|5650|5835|6023|6215|6410|6608|6809|7014|7250|7505|7765|8031|8302|8580	-1	-1	-1	-1	-1
110770	0	319|386|438|495|557|684|758|892|967|1046|1130|1217|1309|1404|1503|1607|1715|1819|1912|2006|2103|2203|2304|2408|2515|2624|2752|2883|3019|3158|3301|3449|3600|3756|3917|4082|4250|4424|4603|4786|4974|5166|5364|5567|5774|5988|6204|6422|6644|6872	-1	-1	-1	-1	-1
110771	0	409|495|563|637|717|880|975|1147|1243|1345|1452|1565|1683|1806|1933|2065|2204|2339|2458|2579|2704|2831|2963|3097|3233|3374|3538|3707|3881|4060|4244|4434|4629|4830|5036|5248|5465|5688|5918|6153|6395|6642|6897|7158|7424|7698|7977|8257|8542|8835	-1	-1	-1	-1	-1
110772	0	455|551|625|707|796|978|1083|1275|1382|1495|1614|1738|1870|2006|2147|2295|2449|2599|2731|2866|3005|3147|3292|3440|3593|3749|3931|4118|4312|4511|4716|4927|5143|5366|5595|5831|6072|6320|6575|6837|7106|7380|7663|7952|8249|8554|8863|9174|9492|9817	-1	-1	-1	-1	-1
110773	0	585|708|804|910|1024|1257|1393|1638|1776|1921|2074|2236|2405|2580|2761|2950|3149|3341|3511|3684|3863|4045|4232|4424|4619|4820|5054|5296|5544|5800|6063|6334|6613|6899|7194|7497|7807|8126|8455|8790|9136|9489|9852|10225|10606|10997|11396|11795|12203|12622	-1	-1	-1	-1	-1
110774	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110775	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
110776	0	579|646|706|770|837|979|1054|1227|1302|1379|1459|1543|1626|1709|1798|1881|1968|2047|2109|2169|2229|2288|2344|2399|2453|2504|2569|2632|2693|2753|2810|2865|2919|2970|3018|3062|3104|3142|3177|3208|3231|3316|3402|3488|3574|3661|3747|3833|3920|4006	-1	-1	-1	-1	-1
