INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
40608	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	36000	8	2000	-1	-1	-1	-1	-1
40609	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	28800	8	1000	-1	-1	-1	-1	-1
40610	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1000	-1	-1	-1	-1	-1
40611	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1000	-1	-1	-1	-1	-1
40612	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1000	-1	-1	-1	-1	-1
40613	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1000	-1	-1	-1	-1	-1
40614	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1000	-1	-1	-1	-1	-1
50101	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	27000	8	18000	-1	-1	-1	-1	-1
50102	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	24300	8	10800	-1	-1	-1	-1	-1
50103	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	21600	8	7200	-1	-1	-1	-1	-1
50104	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	18900	8	3600	-1	-1	-1	-1	-1
50105	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	16200	8	2880	-1	-1	-1	-1	-1
50106	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	13500	8	2160	-1	-1	-1	-1	-1
50107	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10800	8	1440	-1	-1	-1	-1	-1
50108	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	8100	8	720	-1	-1	-1	-1	-1
50109	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	6480	8	360	-1	-1	-1	-1	-1
50110	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	5400	8	360	-1	-1	-1	-1	-1
50111	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	5400	8	360	-1	-1	-1	-1	-1
50112	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	5400	8	360	-1	-1	-1	-1	-1
50113	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	5400	8	360	-1	-1	-1	-1	-1
50114	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	5400	8	360	-1	-1	-1	-1	-1
50201	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	45000	8	24000	-1	-1	-1	-1	-1
50202	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	40500	8	14400	-1	-1	-1	-1	-1
50203	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	36000	8	9600	-1	-1	-1	-1	-1
50204	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	31500	8	4800	-1	-1	-1	-1	-1
50205	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	3840	-1	-1	-1	-1	-1
50206	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	22500	8	2880	-1	-1	-1	-1	-1
50207	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	1920	-1	-1	-1	-1	-1
50208	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	13500	8	960	-1	-1	-1	-1	-1
50209	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10800	8	480	-1	-1	-1	-1	-1
50210	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	480	-1	-1	-1	-1	-1
50211	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	480	-1	-1	-1	-1	-1
50212	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	480	-1	-1	-1	-1	-1
50213	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	480	-1	-1	-1	-1	-1
50214	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	480	-1	-1	-1	-1	-1
50301	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	72000	8	30000	-1	-1	-1	-1	-1
50302	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	64800	8	18000	-1	-1	-1	-1	-1
50303	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	57600	8	12000	-1	-1	-1	-1	-1
50304	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	50400	8	6000	-1	-1	-1	-1	-1
50305	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	43200	8	4800	-1	-1	-1	-1	-1
50306	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	36000	8	3600	-1	-1	-1	-1	-1
50307	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	28800	8	2400	-1	-1	-1	-1	-1
50308	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	1200	-1	-1	-1	-1	-1
50309	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	17280	8	600	-1	-1	-1	-1	-1
50310	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	600	-1	-1	-1	-1	-1
50311	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	600	-1	-1	-1	-1	-1
50312	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	600	-1	-1	-1	-1	-1
50313	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	600	-1	-1	-1	-1	-1
50314	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	600	-1	-1	-1	-1	-1
50401	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	90000	8	36000	-1	-1	-1	-1	-1
50402	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	81000	8	21600	-1	-1	-1	-1	-1
50403	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	72000	8	14400	-1	-1	-1	-1	-1
50404	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	63000	8	7200	-1	-1	-1	-1	-1
50405	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	54000	8	5760	-1	-1	-1	-1	-1
50406	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	45000	8	4320	-1	-1	-1	-1	-1
50407	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	36000	8	2880	-1	-1	-1	-1	-1
50408	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	1440	-1	-1	-1	-1	-1
50409	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	720	-1	-1	-1	-1	-1
50410	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	720	-1	-1	-1	-1	-1
50411	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	720	-1	-1	-1	-1	-1
50412	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	720	-1	-1	-1	-1	-1
50413	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	720	-1	-1	-1	-1	-1
50414	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	720	-1	-1	-1	-1	-1
50501	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	108000	8	42000	-1	-1	-1	-1	-1
50502	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	97200	8	25200	-1	-1	-1	-1	-1
50503	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	86400	8	16800	-1	-1	-1	-1	-1
50504	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	75600	8	8400	-1	-1	-1	-1	-1
50505	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	64800	8	6720	-1	-1	-1	-1	-1
50506	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	54000	8	5040	-1	-1	-1	-1	-1
50507	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	43200	8	3360	-1	-1	-1	-1	-1
50508	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	32400	8	1680	-1	-1	-1	-1	-1
50509	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	25920	8	840	-1	-1	-1	-1	-1
50510	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	840	-1	-1	-1	-1	-1
50511	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	840	-1	-1	-1	-1	-1
50512	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	840	-1	-1	-1	-1	-1
50513	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	840	-1	-1	-1	-1	-1
50514	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	21600	8	840	-1	-1	-1	-1	-1
50601	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	135000	8	60000	-1	-1	-1	-1	-1
50602	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	121500	8	36000	-1	-1	-1	-1	-1
50603	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	108000	8	24000	-1	-1	-1	-1	-1
50604	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	94500	8	12000	-1	-1	-1	-1	-1
50605	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	81000	8	9600	-1	-1	-1	-1	-1
50606	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	67500	8	7200	-1	-1	-1	-1	-1
50607	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	54000	8	4800	-1	-1	-1	-1	-1
50608	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	40500	8	2400	-1	-1	-1	-1	-1
50609	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	32400	8	1200	-1	-1	-1	-1	-1
50610	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	1200	-1	-1	-1	-1	-1
50611	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	1200	-1	-1	-1	-1	-1
50612	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	1200	-1	-1	-1	-1	-1
50613	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	1200	-1	-1	-1	-1	-1
50614	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	27000	8	1200	-1	-1	-1	-1	-1
60101	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	30000	8	21000	-1	-1	-1	-1	-1
60102	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	27000	8	12600	-1	-1	-1	-1	-1
