INT	STRING	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT
1114	主线:	0	1113	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1115	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3804	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1115	主线:	0	1114	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1116	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3805	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1116	主线:	0	1115	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1117	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3806	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1117	主线:	0	1116	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1118	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3807	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1118	主线:	0	1117	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1119	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3808	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1119	主线:	0	1118	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1120	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3809	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1120	主线:	0	1119	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1121	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3810	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1121	主线:	0	1120	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1122	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3811	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1122	主线:	0	1121	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1123	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3812	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1123	主线:	0	1122	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1124	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3813	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1124	主线:	0	1123	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1125	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3814	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1125	主线:	0	1124	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1126	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1126	主线:	0	1125	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1127	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3816	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1127	主线:	0	1126	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1128	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3817	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1128	主线:	0	1127	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1129	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1129	主线:	0	1128	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1130	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3819	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1130	主线:	0	1129	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1131	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3820	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1131	主线:	0	1130	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1132	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1132	主线:	0	1131	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1133	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3822	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1133	主线:	0	1132	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1134	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3823	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1134	主线:	0	1133	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1135	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3824	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1135	主线:	0	1134	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1136	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3825	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1136	主线:	0	1135	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1137	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3826	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1137	主线:	0	1136	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1138	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3827	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1138	主线:	0	1137	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1139	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3828	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1139	主线:	0	1138	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1140	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3829	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1140	主线:	0	1139	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1141	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3830	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1141	主线:	0	1140	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1142	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3831	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1142	主线:	0	1141	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1143	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3832	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1143	主线:	0	1142	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1144	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3833	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1144	主线:	0	1143	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1145	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3834	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1145	主线:	0	1144	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1146	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3835	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1146	主线:	0	1145	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1147	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3836	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1147	主线:	0	1146	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1148	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3837	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1148	主线:	0	1147	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1149	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3838	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1149	主线:	0	1148	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1150	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3839	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1150	主线:	0	1149	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1151	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1151	主线:	0	1150	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1152	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3841	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1152	主线:	0	1151	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1153	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3842	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1153	主线:	0	1152	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1154	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3843	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1154	主线:	0	1153	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1155	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3844	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1155	主线:	0	1154	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1156	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1156	主线:	0	1155	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1157	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3846	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1157	主线:	0	1156	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1158	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3847	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1158	主线:	0	1157	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1159	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3848	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1159	主线:	0	1158	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1160	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3849	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1160	主线:	0	1159	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1161	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3850	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1161	主线:	0	1160	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1162	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3851	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1162	主线:	0	1161	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1163	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3852	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1163	主线:	0	1162	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1164	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3853	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1164	主线:	0	1163	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1165	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3854	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1165	主线:	0	1164	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1166	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3855	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1166	主线:	0	1165	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1167	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3856	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1167	主线:	0	1166	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1168	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3857	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1168	主线:	0	1167	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1169	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3858	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1169	主线:	0	1168	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1170	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3859	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1170	主线:	0	1169	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1171	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3860	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1171	主线:	0	1170	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1172	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3861	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1172	主线:	0	1171	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1173	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3862	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1173	主线:	0	1172	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1174	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3863	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1174	主线:	0	1173	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1175	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3864	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1175	主线:	0	1174	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1176	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3865	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1176	主线:	0	1175	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1177	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3866	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1177	主线:	0	1176	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1178	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3867	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1178	主线:	0	1177	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1179	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3868	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1179	主线:	0	1178	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1180	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3869	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1180	主线:	0	1179	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1181	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3870	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1181	主线:	0	1180	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1182	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3871	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1182	主线:	0	1181	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1183	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3872	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1183	主线:	0	1182	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1184	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3873	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1184	主线:	0	1183	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1185	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3874	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1185	主线:	0	1184	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1186	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3875	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1186	主线:	0	1185	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1187	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3876	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1187	主线:	0	1186	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1188	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3877	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
1188	主线:	0	1187	0	-1	-1	8	-1	-1	0	8	-1	-1	-1	0	-1	-1	-1	-1	8	-1	-1	1189	-1	1	1224	2	1314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3878	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
